Name:,Dotabuff:,MMR:,Buck's Bucks,Crub Cents,Remaining:
Space Cowboy,https://www.dotabuff.com/players/123736773,2852,607,597,597
Jimmy Pesto,https://www.dotabuff.com/players/110119494,2950,601,594,594
MrFishay,https://www.dotabuff.com/players/97079776,3700,555,559,559
juicy,https://www.dotabuff.com/players/162015739,4243,523,525,525
AllRoundGoodGuy,https://www.dotabuff.com/players/167829403,5000,477,464,464
KatzeHund,https://www.dotabuff.com/players/166324601/,5000,477,464,464
BB.347,https://www.dotabuff.com/players/164778266,5639,438,402,402
Beach Jeans,https://www.dotabuff.com/players/87336063,6000,416,362,362
mid or courier adventure,https://www.dotabuff.com/players/92001890,4243,523,525,525
