Name:,Dotabuff:,MMR:,Buck's Bucks,Crub Cents,Remaining:
Ferris Euler,https://www.dotabuff.com/players/101718397,2000,604,620,-1
TheMantis,https://www.dotabuff.com/players/111747192,2445,586,608,0
Reedy,https://www.dotabuff.com/players/142501769,3076,560,585,28
Pneuma,https://www.dotabuff.com/players/58201677,3352,548,573,0
CRAP,https://www.dotabuff.com/players/42291565,4250,511,525,6
Tazerface,https://www.dotabuff.com/players/102388744,4371,506,518,0
Mooshack,https://www.dotabuff.com/players/41807270,4518,500,508,25
Nifuji,https://www.dotabuff.com/players/97494113,4714,492,495,6
ShadowAce,https://www.dotabuff.com/players/167390514,4714,492,495,0
ZombiesExpert ,https://www.dotabuff.com/players/119224130,4800,489,489,-1
Vuvuzela Virtuoso Hans Rudolph,https://www.dotabuff.com/players/65495278,5043,478,472,0
2centz,https://www.dotabuff.com/players/971475960,5356,466,448,0
tokyo/mokyo,https://www.dotabuff.com/players/126604881,6635,413,334,14
MGHappyhobo,https://www.dotabuff.com/players/260316741,6879,403,309,-1
