Name:,Dotabuff:,MMR:,Buck's Bucks,Remaining:
Pearberr2,https://www.dotabuff.com/players/81110788,2210,580,0
vehtwo,https://www.dotabuff.com/players/522326,2300,580,30
TCSlayer,https://www.dotabuff.com/players/175578085,2390,575,1
Wicked_SiCK,https://www.dotabuff.com/players/118128399,2410,575,10
Tyr,https://www.dotabuff.com/players/96258353,3000,550,6
*Kisses*,https://www.dotabuff.com/players/947240,3160,540,0
jmcconnell,https://www.dotabuff.com/players/127252365,3760,515,41
bsvhsvj,https://www.dotabuff.com/players/67739802,3800,515,6
Teresa,https://www.dotabuff.com/players/102264839,4000,505,0
Mooshack,https://www.dotabuff.com/players/41807270,4100,500,50
nooyin,https://www.dotabuff.com/players/54432298,4100,500,41
Miyu,https://www.dotabuff.com/players/117329309,4300,495,50
Vuvuzela Virtuoso Hans Rudolph,https://www.dotabuff.com/players/65495278,4500,485,6
CRAP,https://www.dotabuff.com/players/42291565,4900,465,1
Yop,https://www.dotabuff.com/players/89699373,5180,455,6
Jotatoe,https://www.dotabuff.com/players/85872822,5260,450,6
shadonra,https://www.dotabuff.com/players/92001890,5300,450,6
Ezpz,https://www.dotabuff.com/players/86984684,5350,450,30
ar,https://www.dotabuff.com/players/180022403,5600,440,13
UltraGunner,https://www.dotabuff.com/players/106670947,7020,375,6
