Name:,Dotabuff:,MMR:,Buck's Bucks,Crub Cents,Remaining:
YungBuck,https://www.dotabuff.com/players/192389582,2050,620,620,0
TheMantis,https://www.dotabuff.com/players/111747192,2500,595,605,28
キZend,https://www.dotabuff.com/players/77959947,3750,515,540,0
Chraos,https://www.dotabuff.com/players/175700232,3900,510,530,-1
djconrad,https://www.dotabuff.com/players/89699373,4150,495,511,0
Clare â¤ Teresa,https://www.dotabuff.com/players/102264839,4240,485,504,0
Effjai,https://www.dotabuff.com/players/136477138,4350,480,496,-1
DoomCow33,https://www.dotabuff.com/players/172199571,4810,450,456,13
smacktrickz,https://www.dotabuff.com/players/157808123,4840,450,453,0
Burrahobbit,https://www.dotabuff.com/players/75632156,4930,445,445,0
Vuvuzela Virtuoso Hans Rudolph,https://www.dotabuff.com/players/54432298,4930,445,445,0
PooNaNi,https://www.dotabuff.com/players/63821745,5150,430,423,0
ZombiesExpert,https://www.dotabuff.com/players/119224130,5710,400,364,0
Tokyo,https://www.dotabuff.com/players/126604881,5960,380,335,0
gronaldo44,https://www.dotabuff.com/players/115917506,6900,325,214,10
MGHappyhobo,https://www.dotabuff.com/players/260316741,6970,320,204,0
