Name:,Dotabuff:,MMR:,Buck's Bucks,Crub Cents,Remaining:
Mooshack,https://www.dotabuff.com/players/41807270,3440,531,557,27
Inno,https://www.dotabuff.com/players/153998810,3700,518,541,3
Teresa,https://www.dotabuff.com/players/88028171,3890,508,529,0
emocvst,https://www.dotabuff.com/players/249848876,3900,507,529,0
djconrad,https://www.dotabuff.com/players/89699373,4070,498,517,0
Nifuji,https://www.dotabuff.com/players/97494113,4130,495,513,6
Miyu,https://www.dotabuff.com/players/117329309,4233,490,506,0
FJFJFJJ,https://www.dotabuff.com/players/136477138,4300,486,501,11
redground,https://www.dotabuff.com/players/362793631,4840,458,458,0
ZombieExpert ,https://www.dotabuff.com/players/119224130,5000,450,444,7
Camelfarmer,https://www.dotabuff.com/players/120314918,5100,444,435,0
Vuvuzela Virtuoso Hans Rudolph,https://www.dotabuff.com/players/65495278,5240,437,422,35
smack,https://www.dotabuff.com/players/157808123,5338,432,413,0
Shadonra,https://www.dotabuff.com/players/92001890,5380,430,409,0
Simple,https://www.dotabuff.com/players/351936929,5600,418,387,0
mokyo,https://www.dotabuff.com/players/126604881,5905,400,355,0
pattern,https://www.dotabuff.com/players/87431994,6400,375,299,0
Polo5885,https://www.dotabuff.com/players/109428465,6500,370,287,0
