Name:,Dotabuff:,MMR:,Buck's Bucks,Crub Cents,Remaining:
Ridin' heelies escapin' feelies,https://www.dotabuff.com/players/84060273,2590,584,601,50
ALooseMoose,https://www.dotabuff.com/players/83487685,3000,566,588,35
juicy,https://www.dotabuff.com/players/162015739,4258,510,527,0
KatzeHund,https://www.dotabuff.com/players/166324601,4483,500,513,0
ShadowAce,https://www.dotabuff.com/players/167390514,4503,499,512,0
Vuvuzela Virtuoso Hans Rudolph,https://www.dotabuff.com/players/65495278,4788,486,493,1
DoomCow33,https://www.dotabuff.com/players/172199571,5162,470,465,0
mid or courier adventure,https://www.dotabuff.com/players/92001890,5400,459,447,-1
redground,https://www.dotabuff.com/players/362793631,6000,433,394,4
