Name:,Dotabuff:,MMR:,Buck's Bucks,Crub Cents,Remaining:
Space Cowboy,https://www.dotabuff.com/players/123736773,2852,608,598,0
Jimmy Pesto,https://www.dotabuff.com/players/110119494,2950,602,595,0
MrFishay,https://www.dotabuff.com/players/97079776,3700,555,563,0
juicy,https://www.dotabuff.com/players/162015739,4243,521,532,-2
AllRoundGoodGuy,https://www.dotabuff.com/players/167829403,5000,474,479,-1
KatzeHund,https://www.dotabuff.com/players/166324601/,5000,474,479,54
Clare ❤ Teresa,https://www.dotabuff.com/players/102264839,5100,468,471,-1
Bocasa,https://www.dotabuff.com/players/164778266,5639,434,423,67
Beach Jeans,https://www.dotabuff.com/players/87336063,6000,412,388,1
mid or courier adventure,https://www.dotabuff.com/players/92001890,6100,405,378,0
